ident,name,time,condition,clouds,visibility,winds,temperature,dew_point,pressure
EGBB,Birmingham International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,80 degrees at 6 knots,5,1,1028
EGCC,Manchester Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,90 degrees at 4 knots,6,2,1029
EGCN,Robin Hood Doncaster Sheffield Airport,25 Apr 2021 22:20,Dry,Overcast sky at 732 meters,Greater than 10 km,50 degrees at 3 knots,6,2,1030
EGFF,Cardiff International Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,70 degrees at 15 knots,9,3,1026
EGGD,Bristol Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,60 degrees at 15 knots,6,1,1026
EGGP,Liverpool John Lennon Airport,25 Apr 2021 22:20,Dry,A few at 549 meters,Greater than 10 km,80 degrees at 8 knots,8,4,1028
EGGW,London Luton Airport,25 Apr 2021 22:20,Dry,Overcast sky at 701 meters,Greater than 10 km,40 degrees at 9 knots,5,1,1027
EGHH,Bournemouth Airport,25 Apr 2021 18:50,Dry,Clear skies,Greater than 10 km,80 degrees at 11 knots,13,2,1024
EGHI,Southampton Airport,25 Apr 2021 18:20,Dry,Clear skies,Greater than 10 km,60 degrees at 9 knots,12,2,1024
EGKK,London Gatwick Airport,25 Apr 2021 22:20,Dry,A few at 732 meters,Greater than 10 km,50 degrees at 11 knots,5,0,1026
EGLL,London Heathrow Airport,25 Apr 2021 22:20,Dry,Broken sky at 853 meters,Greater than 10 km,70 degrees at 11 knots,6,0,1027
EGNM,Leeds Bradford Airport,25 Apr 2021 14:50,Dry,A few at 1311 meters,Greater than 10 km,80 degrees at 8 knots,12,1,1030
EGNT,Newcastle Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,170 degrees at 1 knots,2,1,1029
EGNX,East Midlands Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,60 degrees at 8 knots,4,0,1028
EGPD,Aberdeen Dyce Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,190 degrees at 5 knots,5,1,1027
EGPF,Glasgow International Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,280 degrees at 3 knots,7,5,1028
EGPH,Edinburgh Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,250 degrees at 5 knots,6,5,1028
EGSH,Norwich International Airport,25 Apr 2021 22:20,Dry,Overcast sky at 792 meters,Greater than 10 km,60 degrees at 9 knots,6,0,1028
EGSS,London Stansted Airport,25 Apr 2021 22:20,Dry,Overcast sky at 762 meters,Greater than 10 km,50 degrees at 6 knots,5,0,1027
EGTE,Exeter International Airport,25 Apr 2021 13:50,Dry,Clear skies,Greater than 10 km,30 degrees at 14 knots,16,2,1025
EGUL,RAF Lakenheath,25 Apr 2021 22:06,Dry,Overcast sky at 914 meters,Greater than 10 km,40 degrees at 10 knots,6,-2,30.3
EGUN,RAF Mildenhall,25 Apr 2021 21:56,Dry,Overcast sky at 945 meters,Greater than 10 km,50 degrees at 6 knots,6,2,30.3
EGVA,RAF Fairford,25 Apr 2021 21:56,Dry,Clear skies,Greater than 10 km,60 degrees at 10 knots,6,2,30.3
EGVN,RAF Brize Norton,25 Apr 2021 22:20,Dry,A few at 1219 meters,Greater than 10 km,50 degrees at 12 knots,5,1,1027
EHAM,Amsterdam Airport Schiphol,25 Apr 2021 22:25,Dry,Clear skies,Greater than 10 km,20 degrees at 6 knots,4,0,1026
EHEH,Eindhoven Airport,25 Apr 2021 22:25,Dry,Overcast sky at 5791 meters,Greater than 10 km,10 degrees at 8 knots,5,1,1025
EICK,Cork Airport,25 Apr 2021 22:00,Dry,A few at 853 meters,Greater than 10 km,60 degrees at 7 knots,8,2,1026
EIDW,Dublin Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,Variable at 1 knots,2,1,1028
EINN,Shannon Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,50 degrees at 7 knots,10,3,1026
EKBI,Billund Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,350 degrees at 2 knots,-3,-7,1025
EKCH,Copenhagen Kastrup Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,330 degrees at 8 knots,4,-2,1024
EKYT,Aalborg Airport,25 Apr 2021 22:20,Dry,Nil cloud detected,Greater than 10 km,250 degrees at 2 knots,1,-2,1025
ELLX,Luxembourg-Findel International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,50 degrees at 13 knots,6,-2,1020
ENBO,Bodø Airport,25 Apr 2021 22:20,Dry,A few at 762 meters; broken sky at 1676 meters,Greater than 10 km,340 degrees at 6 knots,3,-3,1025
ENBR,Bergen Airport Flesland,25 Apr 2021 22:20,Dry,A few at 914 meters; broken sky at 1676 meters,Greater than 10 km,350 degrees at 5 knots,5,-1,1026
ENGM,Oslo Gardermoen Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,360 degrees at 8 knots,2,-7,1023
ENTC,Tromsø Airport,25 Apr 2021 21:50,Light showers of snow,A few at 305 meters; scattered at 488 meters; broken sky at 914 meters,Greater than 10 km,270 degrees at 7 knots,1,-2,1024
ENVA,Trondheim Airport Værnes,25 Apr 2021 22:20,Dry,Broken sky at 1829 meters,Greater than 10 km,310 degrees at 5 knots,2,-1,1027
ENZV,Stavanger Airport Sola,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,330 degrees at 14 knots,5,0,1026
EPGD,Gdańsk Lech Wałęsa Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,300 degrees at 4 knots,-1,-3,1020
EPKK,Kraków John Paul II International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,310 degrees at 4 knots,0,-5,1020
EPKT,Katowice International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,Variable at 1 knots,-2,-4,1020
EPMO,Modlin Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,250 degrees at 4 knots,0,-1,1020
EPPO,Poznań-Ławica Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,310 degrees at 5 knots,2,-7,1022
EPWA,Warsaw Chopin Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,290 degrees at 5 knots,1,-2,1020
EPWR,Copernicus Wrocław Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,330 degrees at 7 knots,3,-3,1022
ESGG,Gothenburg-Landvetter Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,310 degrees at 5 knots,2,-3,1022
ESMS,Malmö Sturup Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,330 degrees at 5 knots,1,-4,1023
ESPA,Luleå Airport,25 Apr 2021 22:20,Dry,Overcast sky at 1311 meters,Greater than 10 km,350 degrees at 12 knots,0,-7,1020
ESSA,Stockholm-Arlanda Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,300 degrees at 8 knots,-1,-3,1019
ETAR,Ramstein Air Base,25 Apr 2021 21:56,Dry,Clear skies,Greater than 10 km,70 degrees at 6 knots,4,-3,30.1
EVRA,Riga International Airport,25 Apr 2021 22:20,Dry,Scattered at 274 meters; overcast sky at 488 meters,Greater than 10 km,290 degrees at 3 knots,2,1,1013
EYVI,Vilnius International Airport,25 Apr 2021 22:20,Dry,Clear skies,Greater than 10 km,260 degrees at 7 knots,0,-4,1015
FACT,Cape Town International Airport,25 Apr 2021 22:00,Dry,Broken sky at 183 meters,Greater than 10 km,10 degrees at 6 knots,17,15,1013
FAGG,George Airport,25 Apr 2021 22:00,Dry,Scattered at 4572 meters,Greater than 10 km,Variable at 2 knots,16,15,1011
FAJS,OR Tambo International Airport,w at FAOR:,Clear,Clear sky, 0%,165 at 3kts,13.1, 11.7,1014
FAOR,OR Tambo International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,210 degrees at 6 knots,14,-3,1024
FBSK,Sir Seretse Khama International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,290 degrees at 3 knots,12,2,1020
FIMP,Sir Seewoosagur Ramgoolam International Airport,25 Apr 2021 22:00,In the vicinity  showers of,Scattered at 488 meters; broken sky at 1524 meters,8000 meters,80 degrees at 13 knots,25,23,1018
FLLS,Kenneth Kaunda International Airport Lusaka,w at FLKK:,Clear,Clear sky, 0%,0 at 2kts,18, 17.9,1020
FMMI,Ivato Airport,25 Apr 2021 22:00,Dry,A few at 427 meters; broken sky at 610 meters,Greater than 10 km,160 degrees at 4 knots,18,16,1021
FNLU,Quatro de Fevereiro Airport,25 Apr 2021 21:00,Dry,Broken sky at 610 meters,Greater than 10 km,Variable at 3 knots,27,26,1009
FQMA,Maputo Airport,25 Apr 2021 22:00,Dry,A few at 762 meters,Greater than 10 km,Variable at 2 knots,23,20,1016
FSIA,Seychelles International Airport,25 Apr 2021 22:00,Dry,A few at 701 meters,Greater than 10 km,190 degrees at 3 knots,27,25,1009
FTTJ,N'Djamena International Airport,25 Apr 2021 22:00,Dry,No significant clouds are observed,7000 meters,Calm,31,12,1007
FVHA,Robert Gabriel Mugabe International Airport,w at FVRG:,Clouds,Scattered clouds, 47%,54 at 3kts,15.6, 15.1,1022
FYWH,Hosea Kutako International Airport,25 Apr 2021 17:00,Dry,Clear skies,Greater than 10 km,320 degrees at 5 knots,18,6,1022
FZAA,Ndjili International Airport,25 Apr 2021 22:00,Dry,Scattered at 488 meters; a few at 853 meters  cumulonimbus; broken sky at 2438 meters,7000 meters,200 degrees at 4 knots,27,22,1011
GABS,Modibo Keita International Airport,25 Apr 2021 22:00,Dry,A few at 1006 meters,Greater than 10 km,220 degrees at 5 knots,31,15,1011
GCLA,La Palma Airport,25 Apr 2021 22:00,Dry,Broken sky at 1463 meters,Greater than 10 km,210 degrees at 4 knots,21,14,1013
GCLP,Gran Canaria Airport,25 Apr 2021 22:00,Dry,Scattered at 914 meters,Greater than 10 km,340 degrees at 5 knots,19,14,1013
GCTS,Tenerife South Airport,25 Apr 2021 22:00,Dry,A few at 914 meters,Greater than 10 km,10 degrees at 5 knots,19,13,1013
GCXO,Tenerife Norte Airport,25 Apr 2021 22:00,Dry,A few at 91 meters; broken sky at 366 meters,Greater than 10 km,290 degrees at 21 knots,15,14,1014
GFLL,Lungi International Airport,w at GFLL:,Clouds,Broken clouds, 54%,197 at 8kts,27.1, 29,1011
GLRB,Roberts International Airport,25 Apr 2021 22:00,Dry,A few at 427 meters; a few at 762 meters  cumulonimbus,Greater than 10 km,Calm,26,25,1010
GMMN,Mohammed V International Airport,25 Apr 2021 22:00,Dry,A few at 1219 meters,Greater than 10 km,230 degrees at 5 knots,13,11,1011
GOOY,Léopold Sédar Senghor International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,320 degrees at 4 knots,20,19,1012
GVAC,Amílcar Cabral International Airport,25 Apr 2021 22:00,Dry,Broken sky at 427 meters,Greater than 10 km,50 degrees at 13 knots,21,15,1015
HAAB,Addis Ababa Bole International Airport,25 Apr 2021 13:00,Dry,Broken sky at 610 meters; broken sky at 2134 meters,,100 degrees at 9 knots,16,12,1023
HECA,Cairo International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,290 degrees at 12 knots,19,12,1009
HEGN,Hurghada International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,Calm,24,16,1007
HELX,Luxor International Airport,25 Apr 2021 22:00,Dry,Clear skies,Greater than 10 km,260 degrees at 5 knots,27,7,1007
HKJK,Jomo Kenyatta International Airport,25 Apr 2021 18:00,Dry,A few at 671 meters; scattered at 2438 meters,Greater than 10 km,50 degrees at 6 knots,19,17,1021
HKMO,Mombasa Moi International Airport,25 Apr 2021 21:00,Dry,Broken sky at 671 meters,Greater than 10 km,190 degrees at 4 knots,27,25,1013
HLLT,Tripoli International Airport,w at HLLT:,Clear,Clear sky, 0%,112 at 13kts,17.1, 16.5,1017
HRYR,Kigali International Airport,25 Apr 2021 22:00,Dry,Scattered at 762 meters; scattered at 3048 meters,Greater than 10 km,160 degrees at 3 knots,17,17,1021
HSSJ,Juba International Airport,w at HSSJ:,Rain,Light rain, 95%,221 at 3kts,22.3, 22.9,1011
HSSS,Khartoum International Airport,w at HSSS:,Clear,Clear sky, 2%,2 at 11kts,34.4, 32,1009
HTDA,Julius Nyerere International Airport,25 Apr 2021 22:00,Dry,Broken sky at 335 meters; a few at 396 meters  cumulonimbus,Greater than 10 km,210 degrees at 6 knots,25,24,1013
HTZA,Abeid Amani Karume International Airport,25 Apr 2021 22:00,Dry,Scattered at 366 meters,Greater than 10 km,160 degrees at 12 knots,27,25,1012
HUEN,Entebbe International Airport,25 Apr 2021 22:00,Dry,A few at 610 meters; a few at 671 meters  cumulonimbus,Greater than 10 km,Calm,20,18,1018
KABQ,Albuquerque International Sunport,25 Apr 2021 21:52,Dry,A few at 4267 meters; scattered at 7620 meters,16093 meters,210 degrees at 10 knots,27,-12,29.8
KADW,Joint Base Andrews,25 Apr 2021 21:56,Dry,Broken sky at 2438 meters,16093 meters,290 degrees at 14 knots,17,5,29.8
KAFW,Fort Worth Alliance Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,160 degrees at 15 knots,27,14,29.8
KAGS,Augusta Regional At Bush Field,25 Apr 2021 21:53,Dry,A few at 1676 meters,16093 meters,310 degrees at 8 knots,25,11,29.8
KAMA,Rick Husband Amarillo International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,220 degrees at 20 knots,32,-7,29.7
KATL,Hartsfield Jackson Atlanta International Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,310 degrees at 14 knots,20,8,29.9
KAUS,Austin Bergstrom International Airport,25 Apr 2021 21:53,Dry,A few at 7620 meters,16093 meters,170 degrees at 10 knots,29,13,29.8
KAVL,Asheville Regional Airport,25 Apr 2021 21:54,Dry,Clear skies,16093 meters,340 degrees at 15 knots,16,4,30.0
KBAB,Beale Air Force Base,25 Apr 2021 22:10,Dry,Broken sky at 1341 meters; broken sky at 1676 meters; broken sky at 2286 meters,16093 meters,150 degrees at 16 knots,14,9,29.8
KBAD,Barksdale Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,140 degrees at 5 knots,25,13,29.9
KBDL,Bradley International Airport,25 Apr 2021 21:51,Dry,Broken sky at 1097 meters; overcast sky at 1341 meters,16093 meters,340 degrees at 9 knots,14,6,29.6
KBFI,Boeing Field King County International Airport,25 Apr 2021 21:53,Dry,Scattered at 1067 meters; broken sky at 1676 meters; broken sky at 2591 meters,16093 meters,160 degrees at 8 knots,14,5,29.7
KBGR,Bangor International Airport,25 Apr 2021 21:53,Dry,Broken sky at 1311 meters; broken sky at 1524 meters; overcast sky at 2286 meters,16093 meters,180 degrees at 9 knots,12,4,29.7
KBHM,Birmingham-Shuttlesworth International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,10 degrees at 11 knots,21,8,30.0
KBIL,Billings Logan International Airport,25 Apr 2021 21:53,Light rain,A few at 1219 meters; broken sky at 1829 meters; overcast sky at 2438 meters,16093 meters,360 degrees at 10 knots,12,3,29.5
KBLV,Scott AFB/Midamerica Airport,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,Calm,18,8,30.0
KBMI,Central Illinois Regional Airport at Bloomington-Normal,25 Apr 2021 21:56,Dry,A few at 3353 meters,16093 meters,Variable at 4 knots,15,2,30.0
KBNA,Nashville International Airport,25 Apr 2021 21:53,Dry,A few at 1524 meters,16093 meters,340 degrees at 8 knots,22,4,30.0
KBOI,Boise Air Terminal/Gowen Field,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,100 degrees at 8 knots,11,3,29.7
KBOS,General Edward Lawrence Logan International Airport,25 Apr 2021 21:54,Dry,A few at 518 meters; broken sky at 975 meters; overcast sky at 2743 meters,16093 meters,360 degrees at 11 knots,13,5,29.6
KBUF,Buffalo Niagara International Airport,25 Apr 2021 21:54,Dry,A few at 1067 meters; a few at 1676 meters,16093 meters,310 degrees at 18 knots,8,-2,29.9
KBWI,Baltimore/Washington International Thurgood Marshall Airport,25 Apr 2021 21:54,Dry,Broken sky at 2286 meters; broken sky at 7620 meters,16093 meters,300 degrees at 15 knots,19,5,29.8
KCAE,Columbia Metropolitan Airport,25 Apr 2021 21:56,Dry,Broken sky at 1676 meters,16093 meters,Calm,24,10,29.8
KCBM,Columbus Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,10 degrees at 8 knots,23,8,30 i
KCHA,Lovell Field,25 Apr 2021 21:53,Dry,A few at 1676 meters,16093 meters,20 degrees at 5 knots,21,7,30.0
KCHS,Charleston Air Force Base-International Airport,25 Apr 2021 21:56,Dry,A few at 1463 meters,16093 meters,350 degrees at 11 knots,24,13,29.8
KCID,The Eastern Iowa Airport,25 Apr 2021 21:52,Dry,Clear skies,16093 meters,130 degrees at 16 knots,11,-2,29.9
KCLE,Cleveland Hopkins International Airport,25 Apr 2021 21:51,Dry,A few at 914 meters; a few at 7620 meters,16093 meters,350 degrees at 10 knots,10,1,30.0
KCLT,Charlotte Douglas International Airport,25 Apr 2021 21:52,Dry,A few at 1829 meters; scattered at 7620 meters,16093 meters,20 degrees at 13 knots,21,7,29.9
KCMH,John Glenn Columbus International Airport,25 Apr 2021 21:51,Dry,A few at 7620 meters,16093 meters,320 degrees at 11 knots,14,1,30.0
KCOS,City of Colorado Springs Municipal Airport,25 Apr 2021 21:54,Dry,Scattered at 3962 meters,16093 meters,220 degrees at 21 knots,26,-6,29.6
KCRP,Corpus Christi International Airport,25 Apr 2021 21:51,Dry,A few at 1067 meters; a few at 7620 meters,16093 meters,120 degrees at 14 knots,27,19,29.9
KCRW,Yeager Airport,25 Apr 2021 21:54,Dry,Scattered at 1189 meters; broken sky at 1676 meters,16093 meters,240 degrees at 6 knots,15,7,29.9
KCVG,Cincinnati Northern Kentucky International Airport,25 Apr 2021 21:52,Dry,A few at 1219 meters; scattered at 7620 meters,16093 meters,300 degrees at 12 knots,17,1,30.0
KCVS,Cannon Air Force Base,25 Apr 2021 22:10,Dry,Clear skies,16093 meters,200 degrees at 18 knots,31,-11,29.7
KDAB,Daytona Beach International Airport,25 Apr 2021 21:53,Dry,A few at 1219 meters,16093 meters,60 degrees at 9 knots,25,19,29.8
KDAL,Dallas Love Field,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,130 degrees at 12 knots,28,13,29.8
KDAY,James M Cox Dayton International Airport,25 Apr 2021 21:56,Dry,Scattered at 7620 meters,16093 meters,330 degrees at 10 knots,15,-2,30.0
KDBQ,Dubuque Regional Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,120 degrees at 10 knots,9,-6,30.0
KDCA,Ronald Reagan Washington National Airport,25 Apr 2021 21:52,Dry,A few at 1676 meters; broken sky at 2438 meters; broken sky at 7620 meters,16093 meters,300 degrees at 9 knots,18,6,29.8
KDEN,Denver International Airport,25 Apr 2021 21:53,Dry,A few at 3658 meters; scattered at 4877 meters; broken sky at 6706 meters,16093 meters,300 degrees at 8 knots,26,-6,29.6
KDFW,Dallas Fort Worth International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,170 degrees at 15 knots,28,13,29.8
KDLF,DLF Airport,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,150 degrees at 9 knots,33,10,29.8
KDLH,Duluth International Airport,25 Apr 2021 21:55,Dry,Overcast sky at 2896 meters,16093 meters,90 degrees at 12 knots,5,-9,30.0
KDOV,Dover Air Force Base,25 Apr 2021 21:56,Dry,Scattered at 1524 meters; broken sky at 2134 meters,16093 meters,290 degrees at 16 knots,18,7,29.7
KDSM,Des Moines International Airport,25 Apr 2021 21:54,Dry,Scattered at 7620 meters,16093 meters,150 degrees at 21 knots,18,3,29.8
KDTW,Detroit Metropolitan Wayne County Airport,25 Apr 2021 21:53,Dry,Scattered at 7620 meters,16093 meters,320 degrees at 13 knots,12,-4,30.0
KDYS,Dyess Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,180 degrees at 13 knots,33,3,29.8
KEDW,Edwards Air Force Base,25 Apr 2021 21:58,Dry,A few at 1524 meters; scattered at 4572 meters; broken sky at 9144 meters,96560 meters,230 degrees at 20 knots,19,2,29.7
KEND,Vance Air Force Base,25 Apr 2021 21:56,Dry,Clear skies,16093 meters,170 degrees at 20 knots,26,13,29.7
KERI,Erie International Tom Ridge Field,25 Apr 2021 21:51,Dry,Clear skies,16093 meters,300 degrees at 11 knots,7,-1,30.0
KEWR,Newark Liberty International Airport,25 Apr 2021 21:51,Dry,A few at 1067 meters; broken sky at 1829 meters; broken sky at 2438 meters; broken sky at 5182 meters,16093 meters,320 degrees at 13 knots,19,4,29.7
KFFO,Wright-Patterson Air Force Base,25 Apr 2021 21:56,Dry,Broken sky at 7620 meters,16093 meters,310 degrees at 12 knots,15,-1,30.0
KFLL,Fort Lauderdale Hollywood International Airport,25 Apr 2021 21:53,Dry,Scattered at 1829 meters,16093 meters,270 degrees at 13 knots,33,20,29.8
KFSM,Fort Smith Regional Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,160 degrees at 7 knots,26,7,29.9
KFTW,Fort Worth Meacham International Airport,25 Apr 2021 21:53,Dry,Clear skies,16093 meters,160 degrees at 14 knots,26,15,29.8
